service_id;date;exception_type
IST_R1-2-11;20231026;2
IST_R1-2-11;20231030;2
IST_R1-2-11;20231031;2
IST_R1-2-11;20231102;2
IST_R1-2-11;20231225;2
IST_R1-2-11;20231226;2
IST_R1-2-11;20231228;2
IST_R1-2-11;20240101;2
IST_R1-2-11;20240102;2
IST_R1-2-11;20240104;2
IST_R1-2-11;20240226;2
IST_R1-2-11;20240227;2
IST_R1-2-11;20240229;2
IST_R1-2-11;20240304;2
IST_R1-2-11;20240305;2
IST_R1-2-11;20240307;2
IST_R1-2-11;20240401;2
IST_R1-2-11;20240422;2
IST_R1-2-11;20240423;2
IST_R1-2-11;20240425;2
IST_R1-2-11;20240429;2
IST_R1-2-11;20240430;2
IST_R1-2-11;20240502;2
IST_R1-2-11;20240509;2
IST_R1-2-11;20240520;2
IST_R1-2-27;20231023;2
IST_R1-2-27;20231024;2
IST_R1-2-27;20231026;2
IST_R1-2-27;20231027;2
IST_R1-2-27;20231030;2
IST_R1-2-27;20231031;2
IST_R1-2-27;20231102;2
IST_R1-2-27;20231103;2
IST_R1-2-27;20231225;2
IST_R1-2-27;20231226;2
IST_R1-2-27;20231228;2
IST_R1-2-27;20231229;2
IST_R1-2-27;20240101;2
IST_R1-2-27;20240102;2
IST_R1-2-27;20240104;2
IST_R1-2-27;20240105;2
IST_R1-2-27;20240226;2
IST_R1-2-27;20240227;2
IST_R1-2-27;20240229;2
IST_R1-2-27;20240301;2
IST_R1-2-27;20240304;2
IST_R1-2-27;20240305;2
IST_R1-2-27;20240307;2
IST_R1-2-27;20240308;2
IST_R1-2-27;20240401;2
IST_R1-2-27;20240422;2
IST_R1-2-27;20240423;2
IST_R1-2-27;20240425;2
IST_R1-2-27;20240426;2
IST_R1-2-27;20240429;2
IST_R1-2-27;20240430;2
IST_R1-2-27;20240502;2
IST_R1-2-27;20240503;2
IST_R1-2-27;20240509;2
IST_R1-2-27;20240510;2
IST_R1-2-27;20240520;2
IST_R1-2-8;20231026;2
IST_R1-2-8;20231102;2
IST_R1-2-8;20231228;2
IST_R1-2-8;20240104;2
IST_R1-2-8;20240229;2
IST_R1-2-8;20240307;2
IST_R1-2-8;20240425;2
IST_R1-2-8;20240502;2
IST_R1-2-8;20240509;2
IST_R2-2-4;20231025;2
IST_R2-2-4;20231101;2
IST_R2-2-4;20231227;2
IST_R2-2-4;20240103;2
IST_R2-2-4;20240228;2
IST_R2-2-4;20240306;2
IST_R2-2-4;20240424;2
IST_R2-2-4;20240501;2
IST_R2-2-4;20240508;2
IST_VE-2-127;20230911;2
IST_VE-2-127;20230912;2
IST_VE-2-127;20230913;2
