stop_id;stop_name;stop_lat;stop_lon
9064;1695 ROUTE DES ROCHES;49.327604;1.04965
9065;1695 ROUTE DES ROCHES;49.327546;1.049258
9066;2249 ROUTE DES ROCHES;49.3292;1.055802
9067;2249 ROUTE DES ROCHES;49.329129;1.055373
9068;352 ROUTE DES ROCHES;49.325193;1.03012
9069;352 ROUTE DES ROCHES;49.325148;1.02936
9070;44 ROUTE DES ROCHES;49.332956;1.066682
9071;44 ROUTE DES ROCHES;49.332928;1.066227
9072;712 ROUTE DES ROCHES;49.325728;1.03592
9073;712 ROUTE DES ROCHES;49.325721;1.035497
9074;ALLEE DES PEUPLIERS;49.34301;0.95149
9075;ALLEE DES PEUPLIERS;49.34308;0.95152
9076;ALLEE DES SOURCES;49.3421;0.96027
9077;ALLEE DES SOURCES;49.34226;0.95914
9078;LES VOSGES;49.36387;1.09916
9079;LES VOSGES;49.36381;1.09913
9080;CITE DES OISEAUX;49.36312;1.10316
9081;CITE DES OISEAUX;49.36313;1.10344
9082;COMPLEXE SPORTIF;49.3529;1.09331
9083;COMPLEXE SPORTIF;49.35169;1.09297
9084;BLERIOT;49.39528;1.08373
9085;BLERIOT;49.39515;1.08362
9086;BOULEVARD MARITIME;49.34796;0.9919
9087;BOULEVARD MARITIME;49.34789;0.99222
9090;BRAZZA;49.39844;1.04759
9091;BRAZZA;49.39847;1.04812
9092;CAPUCINES;49.39124;1.09855
9093;CAPUCINES;49.39091;1.09782
9094;CARABACHET;49.35543;1.00789
9095;CARABACHET;49.35535;1.00794
9096;CIRCUIT AUTO;49.335821;1.013527
9097;LA CROIX BIZET;49.34741;0.93807
9098;LA CROIX BIZET;49.34751;0.93807
9099;CHARCOT;49.39976;1.04918
9100;CHARCOT;49.40021;1.04973
9101;PLACE SAINT SEVER;49.43044;1.08613
9102;PLACE SAINT SEVER;49.43048;1.08598
9103;REPUBLIQUE QUAIS;49.43762;1.09508
9104;REPUBLIQUE QUAIS;49.43716;1.09567
9105;THEATRE DES ARTS;49.43855;1.0909
9106;THEATRE DES ARTS;49.43875;1.0901
9108;STADE DIOCHON;49.412;1.0724
9117;COLLEGE CHARCOT;49.35796;1.09701
9118;COLLEGE CHARCOT;49.35797;1.09687
9119;LA CROIX SAINT MARC;49.34456;0.98418
9120;LA CROIX SAINT MARC;49.34474;0.98413
9121;ROBERT LE DIABLE;49.34226;0.96835
9122;ROBERT LE DIABLE;49.34226;0.96797
9127;LEPRETTRE;49.39686;1.06108
9128;CAPITAINE FONCK;49.3969;1.06042
9129;GAGARINE;49.38958;1.09944
9130;GAGARINE;49.38938;1.09929
9131;ROND POINT GUYNEMER;49.39742;1.08142
9132;ROND POINT GUYNEMER;49.39734;1.08129
9133;JEAN MACE;49.39818;1.06589
9134;JEAN MACE;49.39822;1.06579
9135;JEAN MOULIN;49.35019;1.02445
9136;JEAN MOULIN;49.35041;1.02484
9137;QUESNOT PERREUSE;49.339236;1.084011
9138;QUESNOT PERREUSE;49.33911;1.083797
9139;LES CELTES;49.34469;0.94618
9140;LES CELTES;49.34436;0.94694
9141;JEAN LURCAT;49.38546;1.09946
9142;JEAN LURCAT;49.38504;1.09971
9143;PLACE BEL AIR;49.36114;1.09892
9144;PLACE BEL AIR;49.36156;1.09882
9145;NORMANDIE;49.37483;1.10278
9146;NORMANDIE;49.37476;1.10257
9147;EMILE ZOLA;49.34964;1.09525
9148;EMILE ZOLA;49.3496;1.09512
9149;NAVARRE;49.3725;1.10329
9150;NAVARRE;49.372;1.1035
9151;PETIT PRINCE;49.39268;1.08654
9152;PETIT PRINCE;49.39234;1.08674
9153;COTY;49.40119;1.05091
9154;COTY;49.40139;1.05103
9155;EGLANTINES;49.39211;1.09085
9156;EGLANTINES;49.39194;1.0913
9157;COLLEGE JEAN RENOIR;49.36101;1.01303
9158;COLLEGE JEAN RENOIR;49.36051;1.01271
9159;ROUVRAY;49.35438;1.00556
9160;ROUVRAY;49.35413;1.00508
9161;SACHA GUITRY;49.34271;0.97306
9162;SACHA GUITRY;49.34285;0.97299
9163;CIMETIERE JEAN JAURES;49.35541;1.09512
9164;CIMETIERE JEAN JAURES;49.35519;1.09515
9165;SOLOGNE;49.3701;1.10528
9166;SOLOGNE;49.37061;1.10503
9167;SAINT WANDRILLE;49.340337;1.08563
9168;SAINT WANDRILLE;49.34061;1.08593
9169;BIBLIOTHEQUE GALILEE;49.344764;1.092809
9170;BIBLIOTHEQUE GALILEE;49.344789;1.092917
9171;GOUBERT;49.38078;1.10061
9172;GOUBERT;49.38054;1.10051
9173;CHAMP DU BOIS;49.336753;1.025585
9174;CHAMP DU BOIS;49.33665;1.025592
9175;POIRIERS;49.339233;1.023177
9176;POIRIERS;49.33924;1.023068
9177;GEORGES BRAQUE;49.40039;1.04233
9178;GEORGES BRAQUE;49.40039;1.04233
